year,major,age,gender,height,weight,ice_cream,color
1,math,18,m,68,140,choc_mint,black
1,cogs,19,m,69,141,choc_mint,blue
1,cogs,24,m,70,210,choc_mint,blue
1,cogs,19,f,64,63,choc_mint,none
1,cogs,19,m,70,155,choc_mint,purple
1,undec,19,m,70,160,choc_mint,purple
1,cs,18,f,61,124,chubby_hubby,violet
1,math-cs,18,m,74,190,cookies_cream,black
1,math-cs,18,m,67,145,cookies_cream,rainbow
1,math-cs,18,m,73,67,green_tea,ultramarine
1,cogs,18,f,65,110,mango,pink
1,cogs,18,f,67,154,mint,orange
1,cogs,19,m,74,155,mint,purple
1,cogs,19,m,74,155,mint,purple
1,cogs,19,m,72,175,none,purple
1,cogs,19,m,68,145,peanut_butter,green
1,cogs,18,f,63,120,rocky_road,purple
1,cogs-dsgn,18,f,62,100,salted_caramel,blue
1,math-cs,18,m,73,140,strawberry,blue
1,cs,19,m,,,strawberry,blue
1,cs,21,m,68,150,vanilla,black
1,cogs,21,m,70,156,vanilla,black
1,cse,19,m,70,139,vanilla,blue
1,cogs,18,f,62,100,vanilla,mint_blue
1,cogs,19,m,66,155,vanilla,navy_blue
1,cogs-dsgn,19,m,,,,blue
2,math-cs,21,m,73,165,all,red
2,cogs-ml,20,m,72,140,all,transparent
2,cs,19,m,74,160,choc_chip,blue
2,cogs-ml,19,m,72,135,choc_mint,black
2,cogs-dsgn,19,f,64,130,choc_mint,blue
2,math-cs,19,m,69,170,choc_mint,blue
2,cogs,19,f,64,107,choc_mint,blue
2,cogs-dsgn,20,f,61,120,choc_mint,blue
2,probstat,19,m,74,174,choc_mint,blue
2,cogs,19,f,64,120,choc_mint,grey
2,cogs,19,m,71,145,choc_mint,green
2,probstat,20,f,63,120,choc_mint,navy_blue
2,cogs-neuro,20,f,67,,chocchip_cookiedough,aquamarine
2,cs,23,m,71,142,chocchip_cookiedough,neon_green
2,math,19,m,75,180,chocolate,blue
2,math-cs,26,m,70,146,chocolate,blue
2,cse,,m,70,,chocolate,maroon
2,ece,27,m,,170,chocolate,orange
2,cogs,20,f,66,130,chocolate,pink
2,math-cs,20,m,68,135,chocolate,purple
2,cogs-dsgn,19,f,61,110,chocolate,red
2,cs,22,m,71,137,coconut,blue
2,math-cs,19,f,65,,coffee,blue
2,cogs,19,f,65,120,coffee,green
2,cogs-ml,20,m,75,170,coffee,green
